name
"Upham, Samuel C. (Samuel Curtis)"
"Meredith, George"
"Strang, Herbert"
"Garner, R. L. (Richard Lynch)"
"Fowler, Charles, Jr."
"Byron, John"
"Metchnikoff, Olga"
"Gibbon, Perceval"
"Aimard, Gustave"
"Teasdale, Sara"
"Meredith, George"
"Murray, Stewart Lygon"
"Roberts, David"
"Barton, Clara"
"Gregg, Josiah"
"Robinson, John"
"Comfort, Will Levington"
"Lea, Henry Charles"
"Meredith, George"
"Benson, E. F. (Edward Frederic)"
"Mansfield, M. F. (Milburg Francisco)"
"Unknown Author"
"National Conference on Workmen's Compensation for Industrial Accidents"
"Beard, Daniel Carter"
"Butler, Ellis Parker"
"Meredith, George"
"Butler, Ellis Parker"
"Butler, Ellis Parker"
"Cobb, Irvin S. (Irvin Shrewsbury)"
"Cobb, Irvin S. (Irvin Shrewsbury)"
"Cobb, Irvin S. (Irvin Shrewsbury)"
"Cobb, Irvin S. (Irvin Shrewsbury)"
"Cobb, Irvin S. (Irvin Shrewsbury)"
"Theiss, Lewis E. (Lewis Edwin)"
"Beard, Daniel Carter"
"Pryor, Sara Agnes Rice"
"Meredith, George"
"Day, Thomas Fleming"
"Aladel, Jean Marie"
"Strindberg, August"
"Schwink, Otto"
"Dennistoun, James"
"Saltykov, Mikhail Evgrafovich"
"Meredith, George"
"Bayles, W. Harrison (William Harrison)"
"Pierotti, Ermete"
"Baring-Gould, S. (Sabine)"
"Scott, Walter"
"Heyliger, William"
"Meredith, George"
"James, G. P. R. (George Payne Rainsford)"
"James, G. P. R. (George Payne Rainsford)"
"James, G. P. R. (George Payne Rainsford)"
"Strang, Herbert"
"Smith, Harry James"
"Seymour, Thomas D. (Thomas Day)"
"Meredith, George"
"Yüan, Yung-lun"
"Alcock, Deborah"
"Various"
"Hartstonge, Matthew Weld"
"Tolstoy, Leo, graf"
"Graves, Charles L. (Charles Larcom)"
"Sealsfield, Charles"
"Adcock, Arthur St. John"
"Meredith, George"
"Morse, Edward Sylvester"
"Woods, Caroline H."
"Rice, George Graham"
"Buc'hoz, Pierre-Joseph"
"Verne, Jules"
"Various"
"Meredith, George"
"Tyerman, L. (Luke)"
"Dunlop, William"
"Hogan, Ben (Benedict)"
"Jarves, Deming"
"Castle, Agnes"
"Michelet, Jules"
"Perrault, Charles"
"Barnes, William"
"Meredith, George"
"Ludlow, James M. (James Meeker)"
"Winnington Ingram, Arthur F. (Arthur Foley)"
"Barbour, John"
"Chapman, Allen"
"Snell, Roy J. (Roy Judson)"
"Fantus, Bernard"
"Byers, S. H. M. (Samuel Hawkins Marshall)"
"Various"
"Snell, Roy J. (Roy Judson)"
"Field, Eugene"
"Meredith, George"
"Strindberg, August"
"Mirbeau, Octave"
"Frederic, Harold"
"Taylor, Meadows"
"Fuller, Alvarado M. (Alvarado Mortimer)"
"Oman, Charles"
"Meredith, George"
"Crawford, F. Marion (Francis Marion)"
"Bryce, George"
"Gilliat-Smith, Ernest"
"Plutarch"
"Strang, Herbert"
"Goldfrap, John Henry"
"Livy"
"Munsell, Ida Hamilton"
"Meredith, George"
"Arlidge, J. T. (John Thomas)"
"Lounsbery, Elizabeth"
"Harraden, Beatrice"
"Adams, Samuel Hopkins"
"Adams, Samuel Hopkins"
"Adams, Samuel Hopkins"
"Adams, Samuel Hopkins"
"Adams, Samuel Hopkins"
"Ruskin, John"
"Meredith, George"
"Lockhart, J. G. (John Gibson)"
"Duckworth, W. L. H. (Wynfrid Laurence Henry)"
"Various"
"Russell, William Howard, Sir"
"Richter, Luise"
"Pegge, Samuel"
"Stringer, Arthur"
"Simms, William Gilmore"
"Various"
"Meredith, George"
"Keim, Albert"
"Heywood, Arthur Percival, Sir, bart."
"Ritson, Mrs. (Anne)"
"Various"
"Various"
"Gannon, W."
"Fielding, Jane"
"Walker, Rowland"
"Evans, Henry Ridgely"
"Meredith, George"
"Collins, Wilkie"
"Dean, Graham M."
"Snell, Roy J. (Roy Judson)"
"Snell, Roy J. (Roy Judson)"
"Meredith, George"
"Newton, A. Edward (Alfred Edward)"
"Various"
"Strang, Herbert"
"Mabie, Hamilton Wright"
"Bowes, Joseph"
"Meredith, George"
"Hanguillart, André Godefroy Lionel"
"Thorpe, William Henry"
"Cuthell, Edith E."
"Aimard, Gustave"
"Addison, C. G. (Charles Greenstreet)"
"Hawks, Francis L. (Francis Lister)"
"Various"
"Davey, Richard"
"Meredith, George"
"Aimard, Gustave"
"Johnstone, James Johnstone, chevalier de"
"Maskell, Henry Parr"
"Gourmont, Remy de"
"Mansfield, Katherine"
"Goodridge Roberts, Theodore"
"Driesch, Hans"
"Meredith, George"
"Williams, Leonard"
"Williams, Leonard"
"Williams, Leonard"
"Ely, Wilmer M. (Wilmer Mateo)"
"Gray, John Alfred"
"Clopper, Edward Nicholas"
"O'Donnell, Elliott"
"Longfellow, Henry Wadsworth"
"Aimard, Gustave"
"Proudhon, P.-J. (Pierre-Joseph)"
"Meredith, George"
"Robertson, Keith"
"Norton, Carol"
"Cook, William Wallace"
"Unknown Author"
"Johnston, Arthur"
"Harris, Maurice H. (Maurice Henry)"
"Meredith, George"
"Hallam, Henry"
"Unknown Author"
"Ashton, John"
"Wilson, Rufus Rockwell"
"Waite, C. V. (Catherine Van Valkenburg)"
"Huntington, George"
"Webster, Noah"
"Wigram, W. A. (William Ainger)"
"Wharton, Anne Hollingsworth"
"Williams, Frances Fenwick"
"Meredith, George"
"Unknown Author"
"Aimard, Gustave"
"Timbs, John"
"Brabourne, Edward Hugessen Knatchbull-Hugessen, Baron"
"Hanson, Charles Henry"
"Chateaubriand, François-René, vicomte de"
"Quatrelles"
"Taine, Hippolyte"
"Meredith, George"
"Xavier, M."
"Unknown Author"
"Unknown Author"
"Mary-Lafon, Jean Bernard Lafon, called"
"Unknown Author"
"Unknown Author"
"Smith, Justin Harvey"
"Smith, Justin Harvey"
"Unknown Author"
"Meredith, George"
"Beard, Adelia B. (Adelia Belle)"
"Unknown Author"
"Unknown Author"
"Gould, Hannah Flagg"
"Mathews, Joanna H. (Joanna Hooe)"
"Hood, Tom"
"Aimard, Gustave"
"Bucke, Charles"
"Meredith, George"
"Unknown Author"
"Watson, William Henry Lowe"
"Aimard, Gustave"
"Baring-Gould, S. (Sabine)"
"Martin, Minnie"
"Chapman, Allen"
"Strange, Edward Fairbrother"
"Longstreet, Helen Dortch"
"Meredith, George"
"Unknown Author"
"Hodgson, Randolph Llewellyn"
"Bennett, R. A. R. (Reginald Arthur Renaud)"
"Holt, Emily Sarah"
"Holt, Emily Sarah"
"Merrick, Leonard"
"Zahm, Albert Francis"
"East, Timothy"
"Meredith, George"
"Decle, Lionel"
"Rogers, Woodes"
"Conover, Mary Roberts"
"Stopes, Marie Carmichael"
"Stead, W. T. (William Thomas)"
"Curtis, T. D. (Thomas Day)"
"Cox, Stephen Angus"
"Patterson, Alexander"
"Meredith, George"
"Yule, Adam"
"Gilman, Charlotte Perkins"
"Brereton, F. S. (Frederick Sadleir)"
"Fitzhugh, Percy Keese"
"Benson, E. F. (Edward Frederic)"
"Westerman, Percy F. (Percy Francis)"
"Meredith, George"
"Wigram, Edgar Thomas Ainger"
"Various"
"Waring, George E. (George Edwin)"
"Buckle, Henry Thomas"
"Buckle, Henry Thomas"
"Buckle, Henry Thomas"
"Warburton, Cecil"
"Russell, William Clark"
"Russell, William Clark"
"Russell, William Clark"
"Le Bon, Gustave"
"Meredith, George"
"Ellis, Havelock"
"Baxter, Leon H."
"Williams, Edward Huntington"
"Goldfrap, John Henry"
"Shepherd, C. K."
"Nock, Albert Jay"
"Zerffi, G. G. (Gustavus George)"
"Meredith, George"
"Bolwell, F. A."
"Aimard, Gustave"
"Unknown Author"
"Broadbridge, James"
"Unknown Author"
"Unknown Author"
"Meredith, George"
"Hone, William"
"Ainsworth, William Harrison"
"Ainsworth, William Harrison"
"Ainsworth, William Harrison"
"Unknown Author"
"Haeckel, Ernst"
"Haeckel, Ernst"
"Haeckel, Ernst"
"Meredith, George"
"Leask, W. Keith (William Keith)"
"Anonymous"
"Various"
"Aubrey, Frank"
"Beale, Charles Willing"
"Unknown Author"
"Gardner, John Starkie"
"Various"
"Meredith, George"
"Haeckel, Ernst"
"Various"
"Russell, William Clark"
"Page, Thomas Nelson"
"Michie, Alexander"
"Meredith, George"
"Church, Alfred John"
"Hudson, G. V. (George Vernon)"
"Mitchell, C. Ainsworth (Charles Ainsworth)"
"Coleridge, Samuel Taylor"
"Coleridge, Samuel Taylor"
"Strong, Augustus Hopkins"
"Blackie & Son"
"Craik, Dinah Maria Mulock"
"Unknown Author"
"Blavatsky, H. P. (Helena Petrovna)"
"Meredith, George"
"Clarke, William"
"Unknown Author"
"Ure, Andrew"
"Unknown Author"
"Turpin, F. H. (François Henri)"
"Wright, Thomas"
"Accum, Friedrich Christian"
"Bayne, A. D."
"Boyer, Charles S. (Charles Sumner)"
"Meredith, George"
"Uzanne, Octave"
"Unknown Author"
"Unknown Author"
"Galt, John"
"Aimard, Gustave"
"McQueen, Anne"
"Anonymous"
"Various"
"Turner, Edward Raymond"
"Meredith, George"
"Swain, E. G. (Edmund Gill)"
"Bateson, William"
"Taylor, Meadows"
"Unknown Author"
"O'Shaughnessy, Edith"
"Shorthouse, J. H. (Joseph Henry)"
"Shorthouse, J. H. (Joseph Henry)"
"Meredith, George"
"Russell, William Clark"
"Various"
"Waterbury, Mary F."
"Unknown Author"
"Goldsmid, Edmund"
"Various"
"Various"
"Various"
"Cuvru-Magot, Henriette"
"Irving, H. B. (Henry Brodribb)"
"Meredith, George"
"Otis, James"
"Wight, Emma Howard"
"Hayden, Arthur"
"Doughty, Frank W."
"Latham, R. G. (Robert Gordon)"
"Beedham, R. J."
"Saunders, Kenneth J. (Kenneth James)"
"Babur, Emperor of Hindustan"
"Hanson, J. H. (Joseph Have)"
"Meredith, George"
"Unknown Author"
"McDonald, N. A. (Noah A.)"
"Otis, James"
"Various"
"Blaikie, William Garden"
"Meredith, George"
"Library of Congress. Copyright Office"
"Brown, Abbie Farwell"
"Darwin, Bernard"
"Nilsson, Victor Alfred"
"Carrington, Hereward"
"Burwell, Letitia M."
"James, George Wharton"
"Clarke, James Freeman"
"Smith, E. Boyd (Elmer Boyd)"
"Meredith, George"
"Lagerlöf, Selma"
"Cox, Stephen Angus"
"Freeman, Lewis R. (Lewis Ransome)"
"MacFarlane, Peter Clark"
"Farrer, James Anson"
"Wood, Thomas"
"Fox, Frances Margaret"
"Folkard, Richard"
"Meredith, George"
"Unknown Author"
"Selmer, Louis"
"Unknown Author"
"Walker, James B. (James Barr)"
"Collier, Jeremy"
"Dino, Dorothée, duchesse de"
"Lacock, John Kennedy"
"Haggard, H. Rider (Henry Rider)"
"Meredith, George"
"Various"
"Otis, James"
"Various"
"Lane, George Martin"
"Various"
"Baxter, Richard"
"Waugh, W. F. (William Francis)"
"American Sunday-School Union"
"Gillette, William"
"Meredith, George"
"Various"
"Leech, John"
"Leech, John"
"Leech, John"
"St. John, Thomas M. (Thomas Matthew)"
"Unknown Author"
"Meredith, George"
"Wayne, Dorothy"
"Grinnell, George Bird"
"Aimard, Gustave"
"Various"
"Ahlborn, Richard E."
"Deignan, H. G. (Herbert Girton)"
"Meredith, George"
"Fenn, George Manville"
"Smyth, H. Warington (Herbert Warington)"
"Harrison, Benjamin"
"Besant, Walter"
"Cartwright, Julia"
"Wood, J. G. (John George)"
"Johnson, Willis Fletcher"
"Fulton, Frances I. Sims"
"Meredith, George"
"Various"
"Ritchie, Robert Welles"
"Stephens, Henry"
"Blank, Clair"
"Pearse, Ebenezer"
"Murison, Alexander Falconer"
"Crane, Stephen"
"Meredith, George"
"Harrison, William"
"Hodder, Reginald"
"Langworthy, Daniel Avery"
"White, James"
"Unknown Author"
"Miller, Gerrit S. (Gerrit Smith)"
"Various"
"Various"
"Various"
"Peck, Thomas"
"Meredith, George"
"Various"
"Chadwick, Lester"
"Bartlett, Paul Alexander"
"Pain, Barry"
"Meredith, George"
"Wallace, Dillon"
"Yonge, Charlotte M. (Charlotte Mary)"
"Otis, James"
"Various"
"Buick, Thomas Lindsay"
"Gregorovius, Ferdinand"
"Rivers, W. H. R. (William Halse Rivers)"
"Unknown Author"
"Meredith, George"
"Unknown Author"
"McManus, Blanche"
"Gilman, Elizabeth Hale"
"Milton, John"
"Vickers, Leslie"
"Various"
"Channing, William Ellery"
"Dutton, Louie M. Knight"
"Unknown Author"
"Meredith, George"
"Unknown Author"
"Jerrold, Blanchard"
"Jerrold, Blanchard"
"Unknown Author"
"Magnus, Hugo"
"Taylor, Benjamin F. (Benjamin Franklin)"
"Busk, Rachel Harriette"
"Stendhal"
"Maher, Zena A."
"Meredith, George"
"Warner, Charles Franklin"
"Birmingham, George A."
"Birmingham, George A."
"Various"
"Kohn, Eugene"
"Shaw, Donald, late captain"
"Various"
"Meredith, George"
"Various"
"Stearns, Charles (Abolitionist)"
"Austin, Mary Hunter"
"Holbrook, Florence"
"Archer, Effie Archer"
"Henderson, W. J. (William James)"
"Various"
"East, Timothy"
"Meredith, George"
"Mathews, Joanna H. (Joanna Hooe)"
"Verance, Percy"
"Frazer, James George"
"De Morgan, William"
"Mathews, Joanna H. (Joanna Hooe)"
"Catlin, George"
"Catlin, George"
"Stowe, Harriet Beecher"
"Various"
"Meredith, George"
"Mathews, Joanna H. (Joanna Hooe)"
"Wayne, Dorothy"
"Wood, George L."
"True, Frederick W. (Frederick William)"
"Dean, Graham M."
"Ministers and Elders of the London Provinciall Assembly"
"Young, Clarence"
"Taylor, Meadows"
"Meredith, George"
"Various"
"Stowe, Harriet Beecher"
"Buffon, Georges Louis Leclerc, comte de"
"Mitton, G. E. (Geraldine Edith)"
"Coleridge, Samuel Taylor"
"Bacheller, Irving"
"Martin, Theodore, Sir"
"Unknown Author"
"Le Bon, Gustave"
"Meredith, George"
"Bastiat, Frédéric"
"Unknown Author"
"Leigh, Percival"
"Miller, Alex. McVeigh, Mrs."
"Grove, Harriet Pyne"
"Hole, S. Reynolds (Samuel Reynolds)"
"Leigh, Percival"
"Grove, Harriet Pyne"
"Various"
"Meredith, George"
"Pym, Horace N."
"Snell, Roy J. (Roy Judson)"
"Chinnery, William"
"Boyd, James P. (James Penny)"
"Lagerlöf, Selma"
"Miller, Alex. McVeigh, Mrs."
"Meredith, George"
"Allen, Grant"
"Surtees, Robert Smith"
"Forman, Samuel S."
"Snell, Roy J. (Roy Judson)"
"Gallizier, Nathan"
"Garvice, Charles"
"Noyes, Alfred"
"Meredith, George"
"Chaucer, Geoffrey"
"Various"
"Various"
"Benton, Thomas Hart"
"Arthur, James"
"Meredith, George"
"Wells, Carolyn"
"Hosie, Alexander, Sir"
"Arnott, Samuel"
"Pitt-Rivers, Augustus Henry Lane-Fox"
"Young, Clarence"
"Waterman, Amy Harlow (Lane), Mrs."
"Waterman, Amy Harlow (Lane), Mrs."
"Tylor, Alfred"
"Meredith, George"
"Various"
"Benton, Thomas Hart"
"Lamplough, Edward"
"Hine, Charles De Lano"
"Southworth, Gertrude Van Duyn"
"Unknown Author"
"Meredith, George"
"À Beckett, Gilbert Abbott"
"Lavell, Edith"
"Cuming, E. D. (Edward William Dirom)"
"Richardson, Albert D. (Albert Deane)"
"Hearn, Lafcadio"
"Wells, H. G. (Herbert George)"
"Meredith, George"
"Various"
"Wells, Carolyn"
"Snell, Roy J. (Roy Judson)"
"Scott, Michael"
"Scott, Michael"
"Edwards, Albert"
"Read, Opie Percival"
"Meredith, George"
"Various"
"Taylor, Meadows"
"Carter, Herbert, active 1909-1917"
"Carpenter, Edward"
"Strabo"
"Strabo"
"Strabo"
"Various"
"Flandrau, Charles Macomb"
"Johnston, David E. (David Emmons)"
"Meredith, George"
"Bouchot, Henri"
"Rochester, John Wilmot, Earl of,"
"Hall, H. R. Wilton"
"Penn, William"
"Pratt, Parley P. (Parley Parker)"
"Maunsell, Robert"
"Carmel, John Prosper"
"Healy, Mary Tenney"
"Meredith, George"
"Brough, Robert B. (Robert Barnabas)"
"Hooton, Charles"
"Hooton, Charles"
"Hooton, Charles"
"Jerrold, Douglas William"
"Herbart, Johann Friedrich"
"Pratt, Orson"
"Adams, Brooks"
"Godfrey, Elizabeth"
"Meredith, George"
"Perry, Edward Baxter"
"Wilberforce, William"
"Rooke, Octavius"
"Craik, Georgiana M. (Georgiana Marion)"
"Brown, Margaret"
"Samuel, Horace Barnett"
"Jensen, Wilhelm"
"Arnold, Matthew"
"Meredith, George"
"Jewett, Sarah Orne"
"Eggleston, George Cary"
"Dean, Graham M."
"Brabourne, Edward Hugessen Knatchbull-Hugessen, Baron"
"Various"
"Bartlett, Steven J."
"Various"
"Halsey, Rena I."
"Schopenhauer, Arthur"
"Meredith, George"
"Brightwell, C. L. (Cecilia Lucy)"
"Russell, Bertrand"
"Various"
"Harbison, Massy"
"Unknown Author"
"Sienkiewicz, Henryk"
"Meredith, George"
"Taylor, John"
"Various"
"Various"
"Unknown Author"
"International Eugenics Congress (1st : 1912 : London)"
"Haldane, Elizabeth Sanderson"
"Meredith, George"
"Optic, Oliver"
"Young, Clarence"
"Lyons, A. Neil (Albert Neil)"
"Various"
"Mathews, Joanna H. (Joanna Hooe)"
"Greene, George Washington"
"Scargill, William Pitt"
"Meredith, George"
"Unknown Author"
"Besant, Walter"
"Vineyard, Thomas Elbert"
"Kincaid, J. (John)"
"Cunningham, W. (William)"
"Finnemore, John"
"Unknown Author"
"Meredith, George"
"Kieffer, Henry Martyn"
"Gould, Elizabeth Porter"
"H. L. L."
"Fowler, Harold North"
"Various"
"Davies, John, Sir"
"Davies, John, Sir"
"Fischer, Henry W. (Henry William)"
"Meredith, George"
"Abbott, Wilbur Cortez"
"Various"
"McKenna, Stephen"
"Newman, E. M. (Edward Manuel)"
"Wells, Carolyn"
"Harden, Arthur"
"Stieglitz, Julius"
"Lambourne, Alfred"
"Chatto & Windus (Firm)"
"Grant, Ethel Watts Mumford"
"Meredith, George"
"Sleeman, Charles William"
"Mathews, Joanna H. (Joanna Hooe)"
"Trollope, Anthony"
"Forde, Gertrude"
"Forde, Gertrude"
"Dick & Fitzgerald"
"Scargill, William Pitt"
"Fletcher, Horace"
"Bunin, Ivan Alekseevich"
"Montgomery, L. M. (Lucy Maud)"
"Phillips, David Graham"
"Meredith, George"
"Calvin, Jean"
"Bastiat, Frédéric"
"Graves, Charles L. (Charles Larcom)"
"Sleffel, Charles Conrad"
"Pratt, Orson"
"Smith, Joseph, Jr."
"Gardiner, Samuel Rawson"
"Unknown Author"
"France, Lewis B."
"Balfour, Francis M. (Francis Maitland)"
"Balfour, Francis M. (Francis Maitland)"
"Latimer, Charles"
"Leigh, Percival"
"Alger, Horatio, Jr."
"Crowquill, Alfred"
"Allen, Stanton P."
"Parkin, George R. (George Robert)"
"Blanchard, Amy Ella"
"Chaucer, Geoffrey"
"Carter, Herbert, active 1909-1917"
"Snell, Roy J. (Roy Judson)"
"Fletcher, Horace"
"Snow, Charles H. (Charles Henry)"
"Whymper, Frederick"
"Adams, John G. (John Greenleaf)"
"Murison, Alexander Falconer"
"Chotzner, J. (Joseph)"
"Blackmore, R. D. (Richard Doddridge)"
"Various"
"Fletcher, Horace"
"Haven, Joseph"
"Ross, Percy"
"Southworth, May E. (May Elizabeth)"
"Douglas, Amanda M."
"Aimard, Gustave"
"Spence, Lewis"
"Cannon, George Q. (George Quayle)"
"Shirley, James"
"Clayton, William"
"Phelips, Vivian"
"Smith, Joseph Fielding"
"Jerrold, Douglas William"
"Percival, Andrew"
"De Mille, James"
"Fraser, Thurlow"
"Gentry, Thomas G. (Thomas George)"
"Anonymous"
"Green, Samuel G. (Samuel Gosnell)"
"Hine, C. C. (Charles Cole)"
"Whitehead, L. (Lewis)"
"Mangasarian, M. M. (Mangasar Mugurditch)"
"Wilson, Rufus Rockwell"
"Allen, James"
"Budlong, Maud Gridley"
"Knox, Thomas Wallace"
"Howe, Robert Harrison"
"Taylor, G. Winifred (Gertrude Winifred)"
"Dixon, Billy"
"Bromet, William"
"Unknown Author"
"Methley, Alice A."
"Metcalf, A."
"Douglas, Norman"
"Kennedy, Sinclair"
"Renan, Ernest"
"Turner, Mrs. (Elizabeth)"
"Hodgson, Fred. T. (Frederick Thomas)"
"Unknown Author"
"Graetz, Heinrich"
"Pycraft, W. P. (William Plane)"
"Various"
"Various"
"Various"
"Hall, Bolton"
"Various"
"Clarke, Geoffrey"
"Various"
"Various"
"Various"
"Various"
"Prime, Samuel Irenæus"
"Whishaw, Frederick"
"Saki"
"Conrad, Joseph"
"Benson, Arthur Christopher"
"Davis, Foxcroft"
"Unknown Author"
"Martin, Percy F. (Percy Falcke)"
"Dalrymple, Leona"
"Stacpoole, William Henry"
"Various"
"Meynell, Everard"
"Hewlett, Maurice"
"Barnum, P. T. (Phineas Taylor)"
"Epictetus"
"Maeterlinck, Maurice"
"Eaton, Daniel Cady"
"Dos Passos, John R. (John Randolph)"
"Lewis, Isabel Martin"
"Atkinson, William Walker"
"Unknown Author"
"Various"
"Various"
"Patchin, Frank Gee"
"Optic, Oliver"
"Solomon, Steve"
"Müller, F. Max (Friedrich Max)"
"Bakewell, Frederick C. (Frederick Collier)"
"Washington, Booker T."
"Shakespeare, William"
"Wyatt, M. Digby (Matthew Digby), Sir"
"Nesbit, E. (Edith)"
"Robertson, J. M. (John Mackinnon)"
"Robertson, J. M. (John Mackinnon)"
"Freeman, Edward A. (Edward Augustus)"
"Lynde, Francis"
"Various"
"Westerman, Percy F. (Percy Francis)"
"Sherman, Charles"
"Spence, Lewis"
"Head, Francis Bond, Sir"
"Clark, Samuel Evans"
"Wharton, Edith"
"Barbour, Ralph Henry"
"Lynde, Francis"
"Barbour, Ralph Henry"
"Hough, Emerson"
"Gorges, Mary"
"Duffield, J. W."
"Herford, R. Travers (Robert Travers)"
"Talmage, James E. (James Edward)"
"Curwood, James Oliver"
"Various"
"Croston, James"
"Miller, Mary Rogers"
"Grover, Eulalie Osgood"
"Schultz, James Willard"
"Forwood, William Bower, Sir"
"Jami"
"Jalal al-Din Rumi, Maulana"
"Smith, Francis Hopkinson"
"Keightley, Thomas"
"Knox, Thomas Wallace"
"Anonymous"
"Goodrich, Samuel G. (Samuel Griswold)"
"Hazard, Rowland Gibson"
"Michie, Alexander"
"Arthington, Maria"
"Hapgood, Hutchins"
"Wharton, Edith"
"Quaritch, Bernard"
"Fern, Fanny"
"Lang, Andrew"
"Wayne, Dorothy"
"Richardson, Rufus B. (Rufus Byam)"
"Peeke, Hewson L. (Hewson Lindsley)"
"Broughton, Rhoda"
"American Railway Association"
"Wharton, Edith"
"Hope, W. H. St. John (William Henry St. John), Sir"
"Goldfrap, John Henry"
"Williams, H. Noel (Hugh Noel)"
"Lewis, Charles Lee"
"Manning, Anne"
"Sun, Yat-sen"
"Wharton, Edith"
"Schliemann, Heinrich"
"Ellis, Edward Sylvester"
"Various"
"Various"
"Unknown Author"
"Various"
"Unknown Author"
"Sassoon, Siegfried"
"Borrow, George"
"Lawrence, D. H. (David Herbert)"
"Feuillet, Octave"
"Everett-Green, Evelyn"
"Durston, George"
"Hardenburg, W. E. (Walter Ernest)"
"Adams, John"
"Durham, Robert Lee"
"McAlister, Hugh"
"Marston, John"
"Jardine, Frank Lascelles"
"Whitney, Ernest"
"Houghton, Louise Seymour"
"Putnam Weale, B. L. (Bertram Lenox)"
"Wedekind, Frank"
"Handcock, Percy S. P. (Percy Stuart Peache)"
"Wagner, Richard"
"Sumner, Charles"
"Tousley, Victor H. (Victor Hugo)"
"Greene, Homer"
"Hewitt, William, active 19th century"
"Booth, Maud Ballington"
"Hopkins, Albert A. (Albert Allis)"
"Vandercook, Margaret"
"Various"
"Wyeth, John B. (John Bound)"
"Riley, James Whitcomb"
"Liebig, Justus, Freiherr von"
"Hanson, Joseph Mills"
"Unknown Author"
"Unknown Author"
"Unknown Author"
"Unknown Author"
"Cody, H. A. (Hiram Alfred)"
"Das, Chitta Ranjan"
"Beals, Christine"
"Hotten, John Camden"
"Hopkins, Cyril G. (Cyril George)"
"Bastin, S. Leonard"
"Garis, Howard Roger"
"Roberts, George Edwin"
"Unknown Author"
"Chaikovskii, Modest"
"Gissing, George"
"Duncan, Julia K."
"Lewandowski, Maurice"
"Goldfrap, John Henry"
"Potter, Beatrix"
"Potter, Beatrix"
"Various"
"Various"
"Bancroft, Hubert Howe"
"Bond, A. Russell (Alexander Russell)"
"Hopkins, Cyril G. (Cyril George)"
"Wells, Carolyn"
"Kellogg, Frederic B."
"Hodges, Elizabeth, active 1895-1897"
"Leland, Charles Godfrey"
"Turner, Mrs. (Elizabeth)"
"Anonymous"
"Williams, Alfred M. (Alfred Mason)"
"Anonymous"
"Larned, W. T. (William Trowbridge)"
"Freeman, Mary Eleanor Wilkins"
"Holmes, Oliver Wendell"
"Stuart, Esmè"
"Des Niau"
"Strong, Augustus Hopkins"
"Various"
"Bramble, Charles A."
"Tennyson, Hallam Tennyson, Baron"
"Anonymous"
"Allen, Grant"
"Peel, Robert"
"Farrow, G. E. (George Edward)"
"Douglas, Alfred Bruce"
"Mangasarian, M. M. (Mangasar Mugurditch)"
"Various"
"Anonymous"
"Terry, Ellen"
"Ferber, Edna"
"Scott, Evelyn"
"Freeman, Mary Eleanor Wilkins"
"Whitney, A. D. T. (Adeline Dutton Train)"
"Cupples, George, Mrs."
"Roberts, B. H. (Brigham Henry)"
"Augustine, Saint, Bishop of Hippo"
"Augustine, Saint, Bishop of Hippo"
"Goodkind, Ben"
"Burroughs, John"
"Blank, Clair"
"Morley, Thomas"
"Hume, Fergus"
"Unknown Author"
"Cooper, A. Heaton (Alfred Heaton)"
"Unknown Author"
"Anonymous"
"Blake, William"
"Hawker, Robert Stephen"
"Breckinridge, John"
"Various"
"Appleton, Victor"
"Cobb, Irvin S. (Irvin Shrewsbury)"
"Unknown Author"
"Peele, John (John R.)"
"Westrup, Margaret"
"Various"
"Young, Clarence"
"Various"
"Harper, Charles G. (Charles George)"
"Various"
"Wharton, Edith"
"Woodhull, John F. (John Francis)"
"Middleton, J. H. (John Henry)"
"Okey, Thomas"
"Various"
"Whitwell, Edward Robson, Mrs."
"Paul, Alexander (Instructor in feather dyeing)"
"Gaskell, Elizabeth Cleghorn"
"Herbert, Henry William"
"Various"
"Blank, Clair"
"Maxim, Hiram S. (Hiram Stevens)"
"Various"
"Rolleston, T. W. (Thomas William)"
"Baum, L. Frank (Lyman Frank)"
"Caron, Pierre, active 1886-1899"
"Kingston, Charles"
"Gaskell, Elizabeth Cleghorn"
"Harting, Pieter"
"Dunton, James G. (James Gerald)"
"Boynton, Percy Holmes"
"Waite, Fred"
"Stirling, Willam"
"Dekker, Thomas"
"Various"
"Gaskell, Elizabeth Cleghorn"
"Various"
"Various"
"Dyer, T. F. Thiselton (Thomas Firminger Thiselton)"
"Lang, Andrew"
"Billings, Josh"
"Miller, Thomas"
"Hall, H. R. Wilton"
"Wells, H. G. (Herbert George)"
"Unknown Author"
"Gaskell, Elizabeth Cleghorn"
"Unknown"
"Haworth, M. E. (Martin E.)"
"Strindberg, August"
"Bryan, William Jennings"
"Lane, Charles Henry"
"Baum, L. Frank (Lyman Frank)"
"Yonge, Charlotte M. (Charlotte Mary)"
"Blackburn, Henry"
"Perrault, Charles"
"White, Annie Randall"
"Read, Thomas Buchanan"
"Scudder, Horace Elisha"
"Frost, John"
"Adderup, Andrew"
"Mangasarian, M. M. (Mangasar Mugurditch)"
"Woods, Kate Tannatt"
"Anonymous"
"Curwood, James Oliver"
"Anonymous"
"Gibson, George Herbert"
"Paris, John Ayrton"
"Paris, John Ayrton"
"Grogan, Ewart Scott"
"Eric, Allan"
"Smith, Harriet L. (Harriet Lummis)"
"Various"
"Leland, Charles Godfrey"
"Sheldon, Charles M."
"Various"
"Aimard, Gustave"
