author
Jefferson, Thomas
Ogilvie, William
Edward VII, King of Great Britain
Cogan, Alan
Barlow, Jon C.
Tolman, Richard C. (Richard Chace)
Pederson, Con
Magee, Knox
Wingate, F. R. (Francis Reginald), Sir
Liston, E. J.
Stanley, Henry M. (Henry Morton)
Gilder, Joseph Benson
Sherred, T. L.
Larus, John Ruse
O'Brien, David Wright
Phelps, A. H.
Walmsley, Hugh Mulleneux
Fletcher, Lawrence
Corwin, Edward Samuel
Bryden, H. A. (Henry Anderson)
Vaughan, Arthur Owen
Russell, John
Mueller, A.
Lazarus, Emma
Clement, E. H. (Edward Henry)
Kingsley, Rose Georgina
Walford, Edwin Alfred
Augustine, Saint, Bishop of Hippo
Bolas, Bernard D.
Edwards, Thomas Charles
Cook, E. T. (Ernest Thomas)
Cartwright, S. E.
Blackburn, Hugh
Getman, Frederick Hutton
Howard, Kathleen
Watson, William Davy
Stanley, Thomas
Laughead, William B.
Jackson, Louis
Sheehan, Perley Poore
Detroit news
Yapp, Arthur K. (Arthur Keysall)
Smith, Adam
Stanley, Monica M.
Williams & Norgate
Merwin, Henry Childs
Massee, George
Willis, Carrie Hunter
Villani, Giovanni
Hosmer, William H. C. (William Howe Cuyler)
Lamon, Harry M.
Tileston, Merrill
Canadian Kodak Company
Swiggett, S. A. (Samuel A.)
Higgins, Walter
Riley, W. (William)
Thompson, Max C.
Dawson, John William, Sir
Earls, Michael
Harvey, Ruth Sawyer
Bevan, J. O. (James Oliver)
Hargrave, John
Duryee, William Budington
Wentworth, G. A. (George Albert)
Balmer, Edwin
Hose, Charles
Brewer, Luther Albertus
Spencer, Sanders
Hunt, Eleonora
Jenks, Albert Ernest
Cibber, Colley
Bolles, Albert Sidney
Nadaillac, Jean-François-Albert du Pouget, marquis de
Record, Robert
Lummis, Charles Fletcher
Brown, Ivor John Carnegie
Holmes, George Charles Vincent, Sir
Nunes, Fernão, active 16th century
Ovington, Mary White
Davis, Audrey B.
Coke, Desmond
Eells, Myron
Moody, Joel
Chamberlain, J. N.
Wortabet, John
O'Brien, Howard Vincent
Kilner, Frederic Richard
Berry, Elmer
Haskell, Franklin Aretas
Le Mesurier, W. H.
Granice, Harry
Walter, Herbert Eugene
Stephens, John L.
Hausrath, Adolf
Bates, Katharine Lee
Chapin, James Paul
Cowdin, Robert
Ellwanger, William De Lancey
Hemphill, Vivia
Weyl, Walter E. (Walter Edward)
Moore, J. Hampton (Joseph Hampton)
Messenger, Ruth Ellis
Meldola, Raphael
Scott, William R. (William Rufus)
Brooklyn (New York, N.Y.). Committee of Ten
Roberts, Thomas
Seville, William P.
Stone, James Madison
Wiggin, Edith E.
Hughson, Shirley Carter
Bedini, Silvio A.
Hard, William
Jones, Jenkins Lloyd
Livingstone, W. P. (William Pringle)
Jevons, William Stanley
MacDonagh, Michael
Fowler, L. N. (Lorenzo Niles)
Lyell, Charles, Sir
Dallas, Richard
Liljencrantz, Ottilie A. (Ottilia Adelina)
Means, Philip Ainsworth
Rosengarten, J. G. (Joseph George)
Scharff, R. F. (Robert Francis)
Doughty, William E. (William Ellison)
Adler, G. J. (George J.)
Pryor, Elizabeth Brown
Civic League (Williston, North Dakota)
MacNeil, John
Osborne, Thomas Mott
Zimmern, Helen
Bulfinch, Thomas
Chaundler, Christine
Netherton, Nan
Cassells, Joe
Meyer, Henry C. (Henry Coddington)
Thompson, Silvanus P. (Silvanus Phillips)
Hopkins, Luther W.
Curling, H. Onslow
Burgett, Arthur Edward
Mathewson, Christy
Brown, Charles Reynolds
Kidder, Daniel P. (Daniel Parish)
Bury, Herbert, Bp.
Adams, H. C. (Henry Cadwallader)
Pepys, Samuel
Ricardo, David
L'Homond, C. F.
Gladding, Effie Price
Baines, Thomas
Biddle, Violet Purton
Beard, James Melville
Harris, Joseph Theodore
Great Britain. Parliament
Prichard, Sarah J. (Sarah Johnson)
Turner, H. H. (Herbert Hall)
Maning, Frederick Edward
Dodge, John
Kennard, Nina H.
Evans, William
Cobden-Sanderson, T. J. (Thomas James)
Harbaugh, T. C. (Thomas Chalmers)
Gleasner, Diana C.
Compton-Rickett, Arthur
Clark, William H.
Candler, Edmund
Appleton, Samuel
Broderip, Frances Freeling
Boys, C. V. (Charles Vernon)
Trecartin, John S.
Sawyer, Robert J.
Proudfit, Fairfax T. (Fairfax Throckmorton)
Haies, Edward, active 1580
Clark, Joan
Franklin, Edgar
Thatcher, Roscoe Wilfred
Lawrence Radiation Laboratory
Dodd, Lee Wilson
Shorthouse, J. H. (Joseph Henry)
Gray, Elisha
Bailey, Florence Merriam
Stace, W. T. (Walter Terence)
Fitch, Henry S. (Henry Sheldon)
Rawlings, Gertrude Burford
Riker, James
Chadwick, G. A. (George Alexander)
Garner, R. L. (Richard Lynch)
Pocock, Roger
Lincoln, Francis L.
Forbes-Mitchell, William
Butler, T. B. (Thomas Belden)
Brace, Charles Loring
Vide, V. V.
Waring, George
Freeman, Lewis R. (Lewis Ransome)
Joyce, P. W. (Patrick Weston)
Bramston, James
Kuprin, A. I. (Aleksandr Ivanovich)
Thursfield, James R. (James Richard)
Leigh, Sarah Ann
Talbot, William Henry Fox
Costelloe, Laurence
Mauduit, Israel
Smith, Charles W.
Hill, Headon
Richardson, John, Sir
Chadwick, Nora K. (Nora Kershaw)
Holdsworth, J. H.
Kennedy, John Pendleton
Palmieri, Luigi
Withrow, W. H. (William Henry)
Smith, Arthur H.
Bolanden, Conrad von
Whitham, A. R. (Arthur Richard)
Taylor, William
Forster, H. C.
Davis, Rebecca Harding
Lambert, Miss (F.)
Caius, John
Davenport, Reuben Briggs
Wood, Norman Asa
Alvarez, Ticul
Chesterfield, Philip Dormer Stanhope, Earl of
Leslie, Eliza
Austen, Sidney
Nägeli, Carl
Brown, James Baldwin
Winn, Howard Elliott
Chatfield-Taylor, H. C. (Hobart Chatfield)
Grinnell, Joseph
De Zafra, Carlos
Inglis, W. H.
Hallam, Henry
Platt, Dwight R.
Tarde, Gabriel de
Bachynskyi, IUliian
Call, Frank Oliver
Watkins, Shirley
Balfour, Grant
Jenkinson, Marion Anne
Echols, Joan
Wheeler, Ruthe S.
Martin, Absalom
Robinson, W. Heath (William Heath)
Goldoni, Carlo
Ticknor and Company
Dell, Floyd
Philadelphia Brigade Association
Gill, Charles Otis
D'Anvers, N.
O'Brien, James
Edwards, Harry Stillwell
Hoskyn, E. L. (Elizabeth Louisa)
Long, John Luther
Adams, James Meade
Knowles, J. Harris (John Harris)
Cruikshank, E. A. (Ernest Alexander)
Grant, Joseph W.
Sears, Joseph Hamblen
Madison, Charles Allan
Boyd, Lucius J.
Maclean, Norman
North Carolina
Bloundelle-Burton, John
Wollheim, Donald A.
Comfield, Amelia Stratton
Dice, Lee R. (Lee Raymond)
Banks, Nathan
Rohde, Eleanour Sinclair
Warton, Thomas
Daniels, Thomas
Ward, Herbert D. (Herbert Dickinson)
Planck, Max
Comer, Cornelia A. P. (Cornelia Atwood Pratt)
Darwin, Francis, Sir
Hammer, Bonaventure
Evans, Donald
Royce, Josiah
Burke, John J. (John James)
Paston, George
Carter, Robert Goldthwaite
Halidom, M. Y.
Gaylord, Ilsien Nathalie
Holcombe, William H. (William Henry)
Schirmacher, Käthe
Valuy, Benôit
Krarer, Olof
Tillinghast, Pardon Elisha
Harper, Francis
Kitton, Frederic George
Madders, Susan Swain
Chaffee, Allen
Putnam, Nina Wilcox
Calhoun, Howell
Bolen, C. Edgar
Tawney, R. H. (Richard Henry)
Böhme, Jakob
Müller, Karl Otfried
Lalanne, Maxime
Richards, Caroline Cowles
Gray, Asa
Hayes, Kate Simpson
Udden, Johan August
Hammerton, John Alexander, Sir
Farber, Eduard
Knight, E. F. (Edward Frederick)
Cooke, Edmund Vance
Bullett, Gerald
Plumb, Albert Hale
Fogazzaro, Antonio
Couperus, Louis
Elliott, Francis Perry
Janis, Elsie
Bushnell, Curtis C. (Curtis Clark)
Verhaeren, Emile
Gabriel, Gilbert W. (Gilbert Wolf)
Cook, Sherburne Friend
Wyatt, M. Digby (Matthew Digby), Sir
Bird, Richard
Ashbaugh, Ernest J. (Ernest James)
McConnell, Walter Caruth
Harding, A. R. (Arthur Robert)
Evans, Charles
Wood, Charles W. (Charles William)
Dunham, Jacob
Dallas, Robert Charles
Smith, T. Roger (Thomas Roger)
Lyon, William Scrugham
Johnson, Willis Fletcher
Coleman, W. S. (William Stephen)
Bristowe, Sibyl
Grimmelshausen, Hans Jacob Christoph von
Gerard, John
Platter, Thomas
Leduc, Stéphane
Aicard, Jean
Capablanca, José Raúl
Jones, Mabel Cronise
Saunders, Edward
Sudermann, Hermann
Sastrow, Bartholomäus
Miller, Lewis
Wright, Lewis
Rimsky-Korsakov, Nikolay
Maverick, Samuel
Judson, L. Carroll (Levi Carroll)
Stallcup, William B.
Wattles, W. D.
Parker, Watson
Wightman, Lulu
Hughes, J. Cecil (John Cecil)
Le Goffic, Charles
Weiss, Susan Archer Talley
Klausner, Julius
Merezhkovsky, Dmitry Sergeyevich
Beal, F. E. L. (Foster Ellenborough Lascelles)
Pfungst, Oskar
Shenstone, W. A. (William Ashwell)
Marx, Magdeleine
Douglas, Eileen
Watts, Miss
Conwell, Russell H.
Northend, Mary Harrod
Wilder, Theodore
Maslin, T. Paul
Keene, S. F., Mrs.
Florida State Live Stock Association
Reeve, Sophia
Hall, Mary Elizabeth
Ruck, Berta
Harrison, Elizabeth
Pratt, Anna Bronson Alcott
Moss, Edward George Britton
Hastings, Z. S. (Zachariah Simpson)
McCook, Henry C. (Henry Christopher)
Ryden, Ernest Edwin
Kehoe, Brendan P.
Untermeyer, Louis
Pickthall, Marjorie L. C. (Marjorie Lowry Christie)
West, Noel
Smith, A. D. (Alfred Daniel)
Debs, Eugene V. (Eugene Victor)
Hamilton, Mary Agnes
Commons, John R. (John Rogers)
Townley, James
Jones, Franklin Day
Lockard, John Ready
Leverage, Henry
Boggess, Arthur Clinton
Martin, Marcus J.
Chipman, Robert A.
Woodcock, E. N. (Eldred Nathaniel)
Maury, Richard L. (Richard Lancelot)
Bishop, Harry Coghill Watson
Weismann, August
Lucas, Charles Prestwood, Sir
Chamberlin, Joseph Edgar
Merrifield, Mary P. (Mary Philadelphia)
Caddy, Florence
Kreps, Elmer Harry
McLaughlin, Marie L.
Hrdlička, Aleš
Wallis, Arthur Frederick
Santiagoe, Daniel
Boyd, Ernest Augustus
Manning, Joseph C. (Joseph Columbus)
Trumble, Alfred
Thomssen, Edgar George
Raven-Hill, L. (Leonard)
Chambers, R. W. (Raymond Wilson)
Dill, Samuel
Adams, Abigail
Mills, J. Saxon (John Saxon)
Madhava
Cole, Charles J.
Gordon, H. Laing (Henry Laing)
Loring, Emilie Baker
Whitelaw, David
Furneaux, William S.
Amundsen, Roald
Le Clerc, M. (Charles Gabriel)
Newton, Grace Clarke
MacGillivray, William
Sellar, W. Y. (William Young)
Knowles, Mabel Winifred
Rowlands, Effie Adelaide
Loviot, Fanny
Lindley, H. Esselstyn
Hunter, Martin
Allen, Richard Lamb
Hulme, F. Edward (Frederick Edward)
Sharman, Julian
Edge, Frederick Milnes
Ros, Amanda McKittrick
Eatmor Cranberries
Copeland, Vanness
Jordan, Edwin O. (Edwin Oakes)
Bower, John Graham
Taylor, William M. (William Mackergo)
Lloyd, Alfred H. (Alfred Henry)
Phillips, E. C. (Edith Caroline)
Bates, Loïs
Park, John Ranicar
Kringle, George
Lundsford, Hugh
Gilbert, George
Hutchison, Joseph C. (Joseph Chrisman)
Gayley, Charles Mills
Grubb, E. Burd (Edward Burd)
Brown, E. E. (Emma Elizabeth)
Madden, Eva Annie
Young, George
Proctor, H. G. (Harry George)
Schmidt, Arno Erdman
Devereux, Mary
Trueb, Linda
Shepard, Odell
Holland, Norah M. (Norah Mary)
Clarke, Marcus Andrew Hislop
Wood, Bradford Ripley, Jr.
Beard, Charles A. (Charles Austin)
Hartley, Oliver
Gladstone, W. E. (William Ewart)
Lee, J. F.
Key, Ellen
Perry, John
Plattsburgh Barracks (N.Y.)
Norfolk, Horatio Edward
Johannsen, O. A. (Oskar Augustus)
Bacon, Frank
Pattullo, George
Benn, Alfred William
Garland, John
Holbrook, M. L. (Martin Luther)
Galloway, William Johnson
Ingram, Kenneth
Voynich, E. L. (Ethel Lillian)
Villa Ramírez, Bernardo
Sweet, Henry
Hoover, Thomas
Taylor, Edward Harrison
Zweig, Stefan
Gould, Mona
Pendleton, Louis
McKim, Randolph H. (Randolph Harrison)
Diaz, Abby Morton
Bee, James W.
Kock, Paul de
Crane, Harold S.
Okakura, Yoshisaburo
Kerbey, Joseph Orton
Field, Kate
Widtsoe, John Andreas
Bridges, Calvin B. (Calvin Blackman)
Collins, John Churton
Galbreath, Edwin C. (Edwin Carter)
Ward, Bernard
Robinson, John H. (John Henry)
Müller, Susannah Grace Sanger
Germany. Laws, statutes, etc.
Salt, Henry S.
Decatur, Stephen
Burton, Charles Pierce
Wirt, Mildred A. (Mildred Augustine)
Snaith, J. C. (John Collis)
Dunn-Pattison, R. P.
Berkman, Alexander
Tarn, W. W. (William Woodthorpe)
Evans, A. J. (Alfred John)
Tordoff, Harrison Bruce
Morant, George
Lantz, David E. (David Ernest)
Mackie, Charles
Levinger, Lee J. (Lee Joseph)
Walden, Walter
Sayle, Iris Eugenie Friend
Harvey, E. Newton (Edmund Newton)
Findlay, Alexander
Corbin, Thomas W.
Baker, Cornelia
Henry, George Garr
O'Hegarty, P. S. (Patrick Sarsfield)
Kjelgaard, Jim
Lowell, A. Lawrence (Abbott Lawrence)
Nevinson, J. L. (John Lea)
Hill, Ruth
Brackett, Edward Augustus
Henry, Robert Mitchell
Fry, Henry P. (Henry Peck)
Lanzi, Luigi
Wells, Kate Gannett
Emerson, Charles Wesley
Bonney, T. G. (Thomas George)
Keller, Gottfried
Chaffers, William
Greenough, Marietta McPherson
Syme, William Anderson
Rand, Edward Kennard
Wheeler, J. M. (Joseph Mazzini)
Stewart, Caroline
Francis H. Leggett & Co.
Metcalf, Artie L.
Abbott, Henry
Hogg, Thomas Jefferson
Mead, Lucia True Ames
Tyrrell, Chas. A. (Charles Alfred)
Blatchford, Robert
Trevena, John
Diderot, Denis
Lowery, George H., Jr.
Arvey, M. Dale (Martin Dale)
Kendall, Edward C.
Olmstead, Charles H.
Francis, John
Bigandet, Paul Ambroise
Cockerell, Theodore D. A. (Theodore Dru Alison)
Stirner, Max
Spielhagen, Friedrich
De Lamater, John N.
Collins, James
Wright, Jack
McDougall, Marion Gleason
Gardner, Charles
Grove, John
Grove, Harriet Pyne
Jarvis, Stinson
Whitmore, Clara Helen
Higginson, Ella
Franzos, Karl Emil
Tyler, Anna Cogswell
Edwards, Jonathan
Samwell, David
Kartini, Raden Adjeng
University of Illinois (Urbana-Champaign campus). Extension Service in Agriculture and Home Economics
Dayrell, Elphinstone
Prichard, Katharine Susannah
Wright, Sidney Harry
Allyn, Jack
Lord, Eleazar
Springer, Rebecca Ruter
Fleming, George
Barnard, Ella K. (Ella Kent)
Furphy, Joseph
Chapman, Ethel M.
Sikes, Wirt
Polevoi, P. (Petr)
Brent, Charles Henry
Hine, Muriel
Langdon, Ellen
Blease, W. Lyon (Walter Lyon)
Davis, Owen
Ryle, J. C. (John Charles)
Alford, George Howard
Arndt, Johann
Step, Edward
Robinson, Victor
Smith, Rebekah
Halleck, Fitz-Greene
Field, Henry M. (Henry Martyn)
Macmillan, Newton
Williams, Elizabeth Whitney
Inchfawn, Fay
Gore, George
Sherrill, Charles Hitchcock
Gray, Niel, Jr.
Dawson Scott, C. A. (Catharine Amy)
Linné, Carl von
Dick, Alexander
Leach, John Albert
Merritt, Abraham
Graham, Harry
Browne, George Waldo
Pierce, Henry M. (Henry Miller)
Paull, H. B., Mrs.
Curling, Henry
Hesiod
Knowles, James Sheridan
Réville, Albert
S. L. M.
Barnes, Annie Maria
Warren, Arthur
Hervey, Harry
Farrer, James
Eötvös, József, báró
Hervey, John Hervey, Baron
Ronald, Mary
Anderson, Benjamin M. (Benjamin McAlester)
Baird, Frank
Comstock, George C. (George Cary)
Barué, Sulpice
Russell, William F. (William Fletcher)
Daughters of the American Revolution. Nebraska
Gardiner, Florence Mary
Sage, William
Strickland, Agnes
Evans-Wentz, W. Y. (Walter Yeeling)
McGlauflin, Idabelle
Pankhurst, Emmeline
Post, Waldron Kintzing
Herschel, William James
Savile, Frank (Frank Mackenzie)
Neal, John
Finden, W. (William)
Hill, Thomas George
Kuhns, Oscar
Webster, Wentworth
Douglas, George
Hayden, Arthur
Walker, Henry de Rosenbach
Barrett, Orvey S.
Legros, Georges Victor
Seldes, Gilbert
Hodge, George B. (George Baird)
Streckfuss, Adolf
Shelton, Louise
Glover, Julia Lestarjette
Quincy, Samuel M. (Samuel Miller)
Hughes, Talbot
Jones, P.
McAllan, Alexander
Gatlin, Dana
Zahm, J. A. (John Augustine)
Gasquet, Francis Aidan
Pinchard, Elizabeth Sibthorpe
Delannoy, Burford
Delafield, E. M.
Danton, George H. (George Henry)
Newman, John
Reed, Helen Leah
Worthington, Frank
Bayly, A. Eric
Byers, George William
Lehmann, R. C. (Rudolf Chambers)
Montalba, Anthony R. (Anthony Reubens)
Bazin, René
Manning, Frederic
Ward, Nathaniel
Kelly, Edmond
Winsted, Huldah Lucile
Shinn, Harold Brough
Yerta, Gabrielle
Williams, Jesse Lynch
Hastings, Wells
Greenleaf, Simon
Habermann, Johann
Knight of Elvas
Fiske, Ralph Browning
Lewis, W. T. (William T.)
Hook, Richard A.
Brainerd, Eleanor Hoyt
Shaw, James H.
Stephen, Vincent
Filon, Augustin
McKay, Kenneth W.
Bashford, H. H. (Henry Howarth), Sir
Ellis, William Hodgson
Mamin-Siberiak, D. N. (Dmitrii Narkisovich)
Clark, Ellery H. (Ellery Harding)
Carstairs, Christian
Flynt, Josiah
Forkel, Johann Nikolaus
Johnson, A. E. (Amelia E.)
Gregor, Elmer Russell
Campbell, Adelaide M. G.
Loudon, Mrs. (Margracia)
Campbell, A., of the Santal mission
Du Moulin, Louis Eugène
Eckstorm, Fannie Hardy
Palmer, Mary E. (Mary Elizabeth)
Protheroe, Ernest
Hamilton, Cosmo
Robinson, Rowland Evans
Clitherow, Mary
Wright, Dudley
Ripley, William Young Warren
Hackett, Francis
Bysshe, Edward, active 1702-1712
Smith, William Benjamin
King-Hall, Stephen, Sir
MacQuarrie, Hector
Goodrich, Albert M.
Poel, William
Hoffmeister, Donald Frederick
Gallishaw, John
Phillips, Chester Arthur
Jones, Robert H.
Hartley, Florence
Tille, Václav
Ingraham, J. H. (Joseph Holt)
Warner, Frances Lester
Lowe, Orton
Manzoni, Alessandro
Oldmixon, Mr. (John)
Edwards, George
MacLehose, Sophia H.
Herbert, A. P. (Alan Patrick)
Johnes, Arthur James
Miller, Frank Justus
Doran, Dr. (John)
Scoresby, William
Muir, Ramsay
Fowler, Charles Henry
Middleton, Thomas C. (Thomas Cooke)
Somerton, Alice
Price-Brown, John
Kent, Elizabeth
Ralph, Julian
Sombart, Werner
Peer
Herr, George L. (George Lewis)
Scadding, Henry
Lenin, Vladimir Il'ich
Bartlett, John Russell
Bangs, Outram
Kirk, William Frederick
Pollock, Horatio M. (Horatio Milo)
Badlam, Anna B.
Shiukichi, Shigemi
MacNeal, Ward J.
Todd, David P. (David Peck)
Bass, William Wallace
Wehle, Harry B. (Harry Brandeis)
Towns, Charles Barnes
Beeks, James C.
Danks, William
Robinson, F. W. (Frederick William)
Mordell, Albert
Castillo, John
Nash, Wallis
Peabody, Robert Swain
Opie, Amelia
Mahaffy, J. P. (John Pentland)
Hughes, James L. (James Laughlin)
McCrae, John
Ward, Mrs.
Parrott, Edward
Bethusy-Huc, Valeska, Gräfin von
Davidson, John
Seeley, H. G. (Harry Govier)
Geikie, James
Risk Allah, Habeeb
Kyd, Thomas
Huntington, Faye
Carleton, George Washington
Whitney, Orson F. (Orson Ferguson)
Tibbitts, Charles John
Tench, Watkin
MacClintock, Porter Lander
Wallack, Lester
Benson, Simon
Charles, Elizabeth Rundle
Das, Chitta Ranjan
McHugh, John A. (John Ambrose)
Waugh, Joseph Laing
Trotter, Melvin E. (Melvin Earnest)
Roberts, B. H. (Brigham Henry)
Sedgwick, Henry Dwight
Cruickshank, Alfred Hamilton
Randolph, Paschal Beverly
Harris, William Cornwallis, Sir
Gottschall, Rudolf von
Ashe, E. D. (Edward David)
Skinner, Charlotte
Schubin, Ossip
Mack, Louise
Austin, Alfred
Gilchrist, Anne (Anne Burrows)
Stevens, Francis
Hitchcock, Edward
Walker, Alexander
Dawson, George Francis
Fairbanks, Charles Bullard
Joseph, Samuel
Moses, Belle
Stilson, Charles B. (Charles Billings)
Leech, Samuel V.
Trollope, Frances Eleanor
Hamilton, William, Sir
Dent, C. T. (Clinton Thomas)
Trent, Hilary
Girvin, James W. (James Walter)
Canada. Department of the Interior
Weir, Harrison
Brady, Loretta Ellen
Barry, Joseph
Carboni, Raffaello
Ward, Leslie, Sir
Herr, Charles J.
Pratt, Parley P. (Parley Parker)
Fitzhugh, George
Jarvis, W. H. P. (William Henry Pope)
Cowley, Abraham
Agassiz, Alexander
Pollard, Alfred W. (Alfred William)
MacDonald, Daniel J.
Nash, William H., Mrs.
Harvey, Alexander Miller
Allen, Frank Waller
Bourrienne, Louis Antoine Fauvelet de
Morgan, Sidney
Starrett, Vincent
Marchmont, Arthur W.
Kennedy, Sara Beaumont
Mason, William
MacDonald, Arthur
Hardy, E. J. (Edward John)
Ruiz de Burton, María Amparo
Washburn, L. K. (Lemuel Kelley)
Heath, Thomas Little, Sir
Cummings, Lettie M.
Novice, active 19th century
Metelerkamp, Sanni
Burgess, John William
Woolley, Edwin C. (Edwin Campbell)
Scanlan, Charles Martin
Fleeson, Katherine Neville
Lindsay, John S. (John Shanks)
Tiffany, John K. (John Kerr)
Gul'bat, Abraam Abraamovich
Meacham, Henry H.
Bowie, Henry P.
Carnahan, James R. (James Richards)
Cooper, Marie Jane
Pitcairn, W. D.
Thompson, Samuel
Darwin, George Howard, Sir
Hare, Augustus J. C. (Augustus John Cuthbert)
Reynolds, Baillie, Mrs.
Thomas, W. H. (William Henry)
Hughes, E.
Yellott, George
Chambers, Robert
Giesy, J. U. (John Ulrich)
Spalding, William
Wrigley, Sarah A. Finley
Schweigger, C.
Doyle, C. W. (Charles William)
Caruthers, William Alexander
Blot, Pierre
Reid, Elizabeth Hyde
Colquhoun, Patrick
Austin, Caroline
Wallace, Edna Kingsley
Mackenzie, Alexander
Landrum, John M. (John Morgan)
Rigby, N. (Nicholas)
Jean Paul
Chadsey, Charles E. (Charles Ernest)
Holley, George W. (George Washington)
Peabody, Elizabeth Palmer
Broun, Heywood
Wairy, Louis Constant
Howard, Blanche Willis
Grierson, Francis
Heuser, Herman J. (Herman Joseph)
Cameron, John, soccer player
Keane, A. H. (Augustus Henry)
Noyes, John Humphrey
Thurston, Edgar
Fletcher, D. H.
De Fontaine, F. G. (Felix Gregory)
Enelow, H. G. (Hyman Gerson)
Campbell, Edward Livingston
O'Keeffe, John
Loughborough, Mary Ann Webster
Vogel, Nancy Casteel
Halliwell-Phillipps, J. O. (James Orchard)
Halifax, George Savile, Marquis of
Davis, Frederick C.
Ingram, John Henry
Alderson, Matthew W.
Woolley, Mary Emma
Colden, Cadwallader
Great Britain. Privy Council
Wilson, Christopher
Coffey, P. (Peter)
Pont-Jest, René de
Caunter, John Alan Lyde
Whitlock, Brand
Sharp, Annabel
Miller, Barnette
Zurara, Gomes Eannes de
Stimson, Dorothy
Kroeber, A. L. (Alfred Louis)
Bunney, Joseph
Dunlop, John Colin
Blacker, W. (William)
Ringrose, Hyacinthe
Cone, John A. (John Albert)
Slafter, Edmund F. (Edmund Farwell)
Glenwood, Ida
Wilber, Elaine
Damer, Eyre
Hardwick, J. C. (John Charlton)
Guild, C. S. (Caroline Snowden)
Pratt, Ambrose
Warren, George Washington
Hamilton, John A. (John Arthur)
Blewett, Jean
Palmer, Herbert E. (Herbert Edward)
Wight, J. (John)
Suematsu, Kencho
Crawford, Jack Randall
Stuart, Gordon (Adventure story writer)
Hunter, William Wilson
Montaigne, Michel de
Mechthild, of Magdeburg
Gounod, Charles
Cox, George
Dorrance, E. S. (Ethel Smith)
Pratt, J. G.
McCulley, Johnston
Campbell, Duncan
Sargant, J. A. (Jane Alice)
Cross, Frank B. (Frank Bernard)
Leitz, Ernst
Reuter, Fritz
James, Grace
Tuttle, Hudson
Sainsbury, Noel
Edmunds, Pocahontas Wight
Titus, Harold
Grant Suttie, George, Sir
Davey, Richard
Dodge, David Low
Hunter Blair, David Oswald, Sir
Browne, Thomas, Sir
Chapone, Mrs. (Hester)
Robbins, Alfred Farthing
Olcott, Frances Jenkins
Ferguson, Robert
Rodd, Rennell
Chase, Allan
Thurston, Robert Henry
Nilsen, Anthon Bernhard Elias
Klauber, E. (Edward)
Savigny, Annie Gregg
Van Buren, Martin
White, Walter
Barrington, Russell, Mrs.
Lathrop, George Parsons
Wissler, Clark
Davies, G. Christopher (George Christopher)
Richards, Rosalind
Tappan, Henry Philip
Patrat, Joseph
Olcott, Charles S. (Charles Sumner)
Deville, Gabriel Pierre
McKay, R. H. (Robert Henderson)
Watson, Lillian Eichler
Cook, Ezra A. (Ezra Asher)
Bowman, Isa
Jacobs, Orange
Bewsher, Paul
Coffman, C. J. (Casper James)
Proudhon, P.-J. (Pierre-Joseph)
Vining, Edward Payson
Talbot, Eugene S. (Eugene Solomon)
Burns, W. F.
Gilmore, Melvin R. (Melvin Randolph)
Field, Salisbury
Wesley, Dorothy Porter
Roe, Mary A. (Mary Abigail)
Russell, Israel C. (Cook)
Mann, Thomas
United States. National Conservation Congress
Foster, William Z.
Seidensticker, John
Thorne, W. S.
Stevens, Doris
James, G. P. R. (George Payne Rainsford)
Spalding, Henry S. (Henry Stanislaus)
Lissagaray
Parry, Edward Abbott, Sir
MacDonald, Everett
Martine, Arthur
Fuller, Hamilton Brock
Eastman, Max
Bowling, John (Novelist)
Helper, Hinton Rowan
Howell, Edgar M.
McIntyre, James
Greely, A. W. (Adolphus Washington)
Tressell, Robert
Sverdrup, Harald Ulrik
Watkins, C. Malcolm
Parsons, Eugene
Strang, Alan L.
Baudelaire, Charles
Guthrie, William
Taylor, Charles M. (Charles Maus)
Heller, Otto
Cornwallis, Caroline Frances
Rankin, Carroll Watson
Dwight, Margaret Van Horn
Cooley, James Ewing
Barnes, James
Trapp, Joseph
Mapleson, James Henry
Holman, Frederick V.
Gemünder, George
Thompson, Maurice
Klein, Felix
Sewell, Elizabeth Missing
Kavanagh, Julia
McClure, James G. K. (James Gore King)
Patmore, P. G. (Peter George)
Stravinsky, Igor
Mimosa
Smith, Seba
Virginia 350th Anniversary Celebration Corporation
Emmons, George Thornton
Pollard, Josephine
DeWitt, David Miller
Walsh, William Shepard
O'Mahony, Charles Kingston
Rice, K. McDowell (Katharine McDowell)
Poor, Agnes Blake
Packer, George Nichols
Whitaker, Herman
Gyp
Heizer, Robert F. (Robert Fleming)
Jósika, Miklós, báró
Green, Ezra
Cousin, Victor
Moltke, Helmuth, Graf von
Manners, J. Hartley
Michelin & Cie
Gilmore, Marion Forster
Strang, Lewis Clinton
Coup, W. C. (William Cameron)
Spier, Leslie
Dana, Marvin
Still, John
Howe, E. W. (Edgar Watson)
Ward, Adolphus William, Sir
Champlain, Samuel de
Crowninshield, Schuyler, Mrs.
Spingarn, Joel Elias
Osborne, William Hamilton
Keim, Albert
Arts and Crafts Exhibition Society
Rotch, Abbott Lawrence
Jennings, Hargrave
Robertson, A. T.
Hamilton, James
Aveling, Edward B.
Moss, Arthur B.
Walker, Hugh
Jekyll, Gertrude
Gardner, Ethellyn
Caldwell, Willie Walker
Hackley, Sarah Bell
Woolfenden, Glen Everett
Jameson, E. W. (Everett Williams)
